COD_DANE,NOMBRE_MPI,DPTO_CNMBR,baseline_forest_tc30,baseline_forest_tc50,baseline_forest_tc75,n_fragmentos,fuente,version_gfc,baseline_forest,area_municipio_ha,fecha_generacion
13042,ARENAL,BOLÍVAR,41185.62358148595,39938.36195205578,36472.78908389466,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,41185.62358148595,,2026-09-20T17:41:03
13052,ARJONA,BOLÍVAR,15064.121597936371,12730.553132043717,9335.261919122897,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,15064.121597936371,,2026-09-20T17:41:03
13062,ARROYOHONDO,BOLÍVAR,2518.9814869640145,1921.9402405703563,956.7786575656564,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,2518.9814869640145,,2026-09-20T17:41:03
13074,BARRANCO DE LOBA,BOLÍVAR,26423.59063504557,21950.5222631907,14519.12073143744,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,26423.59063504557,,2026-09-20T17:41:03
13140,CALAMAR,BOLÍVAR,5606.884641236994,4561.609874313474,2864.803588621824,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,5606.884641236994,,2026-09-20T17:41:03
13160,CANTAGALLO,BOLÍVAR,81498.27815615221,79151.57202354055,73401.49711606142,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,81498.27815615221,,2026-09-20T17:41:03
13188,CICUCO,BOLÍVAR,3130.222985825806,2315.9839637871446,829.9184900789857,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,3130.222985825806,,2026-09-20T17:41:03
13212,CÓRDOBA,BOLÍVAR,19155.066891569903,16816.48836617374,11287.680342553516,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,19155.066891569903,,2026-09-20T17:41:03
13222,CLEMENCIA,BOLÍVAR,3357.194089405215,2787.7209256095875,1647.353319001205,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,3357.194089405215,,2026-09-20T17:41:03
13244,EL CARMEN DE BOLÍVAR,BOLÍVAR,77411.00403736763,73890.88139246195,62285.738765868686,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,77411.00403736763,,2026-09-20T17:41:03
13248,EL GUAMO,BOLÍVAR,17618.909654059727,15499.512231903384,10520.72553002748,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,17618.909654059727,,2026-09-20T17:41:03
13268,EL PEÑÓN,BOLÍVAR,22807.379305562008,19475.52502737265,12962.576869396427,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,22807.379305562008,31849.95751278408,2026-09-20T17:41:03
13300,HATILLO DE LOBA,BOLÍVAR,8030.680090322228,5810.255926307765,2754.8757440541344,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,8030.680090322228,,2026-09-20T17:41:03
13430,MAGANGUÉ,BOLÍVAR,32409.584909973844,26619.899795997942,15710.183024582351,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,32409.584909973844,,2026-09-20T17:41:03
13433,MAHATES,BOLÍVAR,12170.329185349749,9995.935623581494,6757.4305100708125,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,12170.329185349749,,2026-09-20T17:41:03
13440,MARGARITA,BOLÍVAR,13463.8367118918,9788.992004774102,4812.7820362442735,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,13463.8367118918,,2026-09-20T17:41:03
13442,MARÍA LA BAJA,BOLÍVAR,26493.748212760504,23110.725795771767,17533.447879533585,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,26493.748212760504,,2026-09-20T17:41:03
13458,MONTECRISTO,BOLÍVAR,204286.0930532577,203158.4904630905,200209.76485240963,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,204286.0930532577,,2026-09-20T17:41:03
13468,SANTA CRUZ DE MOMPOX,BOLÍVAR,24733.26767861293,19372.9803507086,8713.143708081669,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,24733.26767861293,,2026-09-20T17:41:03
13473,MORALES,BOLÍVAR,84409.38189514399,75911.26780439696,57925.85971268488,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,84409.38189514399,,2026-09-20T17:41:03
13490,NOROSÍ,BOLÍVAR,39239.458692325374,38395.29603385898,36323.89622318533,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,39239.458692325374,,2026-09-20T17:41:03
13549,PINILLOS,BOLÍVAR,36871.57285107723,27740.270839959387,12244.351291327905,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,36871.57285107723,77470.2901789637,2026-09-20T17:41:03
13580,REGIDOR,BOLÍVAR,11295.708372712306,9847.363957648928,7273.257495505204,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,11295.708372712306,,2026-09-20T17:41:03
