COD_DANE,NOMBRE_MPI,DPTO_CNMBR,loss_pixels,loss_area_ha
15092,BETÉITIVA,BOYACÁ,110,9.899999999999999
15097,BOAVITA,BOYACÁ,28,2.52
15104,BOYACÁ,BOYACÁ,1132,101.88
15106,BRICEÑO,BOYACÁ,19,1.71
15109,BUENAVISTA,BOYACÁ,14,1.26
15114,BUSBANZÁ,BOYACÁ,46,4.14
15131,CALDAS,BOYACÁ,12,1.08
15135,CAMPOHERMOSO,BOYACÁ,34,3.0599999999999996
15162,CERINZA,BOYACÁ,2034,183.06
15172,CHINAVITA,BOYACÁ,394,35.46
15176,CHIQUINQUIRÁ,BOYACÁ,2216,199.44
15180,CHISCAS,BOYACÁ,423,38.07
15183,CHITA,BOYACÁ,339,30.509999999999998
15185,CHITARAQUE,BOYACÁ,140,12.6
15187,CHIVATÁ,BOYACÁ,444,39.96
15189,CIÉNEGA,BOYACÁ,72,6.48
15204,CÓMBITA,BOYACÁ,409,36.809999999999995
