COD_DANE,NOMBRE_MPI,DPTO_CNMBR,baseline_forest_tc30,px_bosque_tc30,baseline_forest_tc50,baseline_forest_tc75,fuente,version_gfc,baseline_forest,area_municipio_ha,fecha_generacion
41872,VILLAVIEJA,HUILA,7233.023881635464,80502,3492.6462567334147,1324.9619324813816,local:Colombia_treecover2000.tif,Colombia_treecover2000,7233.023881635464,54362.965786222936,2026-09-20T09:50:08
41885,YAGUARÁ,HUILA,8181.799515153977,91007,4595.29637450886,2007.7984504823685,local:Colombia_treecover2000.tif,Colombia_treecover2000,8181.799515153977,33281.67257832519,2026-09-20T09:50:08
44001,RIOHACHA,LA GUAJIRA,208694.09511752063,2363887,183651.11947366208,131435.19881628675,local:Colombia_treecover2000.tif,Colombia_treecover2000,208694.09511752063,308255.8557112133,2026-09-20T09:50:08
44035,ALBANIA,LA GUAJIRA,35016.61721959928,396670,29398.791009001652,17618.509675894453,local:Colombia_treecover2000.tif,Colombia_treecover2000,35016.61721959928,54480.44906431974,2026-09-20T09:50:08
44078,BARRANCAS,LA GUAJIRA,62056.63744330294,702390,55256.238781381304,44161.54126540245,local:Colombia_treecover2000.tif,Colombia_treecover2000,62056.63744330294,79922.70481581363,2026-09-20T09:50:08
44090,DIBULLA,LA GUAJIRA,131767.60817161808,1492052,125599.37023578172,113052.75180316139,local:Colombia_treecover2000.tif,Colombia_treecover2000,131767.60817161808,174682.32191857352,2026-09-20T09:50:08
44098,DISTRACCIÓN,LA GUAJIRA,15938.030552482545,180367,13595.251084133819,8574.059504584466,local:Colombia_treecover2000.tif,Colombia_treecover2000,15938.030552482545,23141.43632005679,2026-09-20T09:50:08
44110,EL MOLINO,LA GUAJIRA,17231.24392137485,194802,15572.230320621777,12459.872555490707,local:Colombia_treecover2000.tif,Colombia_treecover2000,17231.24392137485,24169.672951130975,2026-09-20T09:50:08
44279,FONSECA,LA GUAJIRA,31913.383072512963,361004,26889.548588244306,19475.751456309885,local:Colombia_treecover2000.tif,Colombia_treecover2000,31913.383072512963,47254.30355136026,2026-09-20T09:50:08
44378,HATONUEVO,LA GUAJIRA,12124.739941137672,137289,9238.670274925584,5419.818537644522,local:Colombia_treecover2000.tif,Colombia_treecover2000,12124.739941137672,21418.672247695897,2026-09-20T09:50:08
44420,LA JAGUA DEL PILAR,LA GUAJIRA,11264.686368846686,127274,10164.848352144045,7125.109943240688,local:Colombia_treecover2000.tif,Colombia_treecover2000,11264.686368846686,17925.010934550406,2026-09-20T09:50:08
