Project ID,Project Name,Project Stage,Project URL,Duration start,Duration end,n_matches,cod_dane,municipio
CDC-38,"Proyecto Hidroeléctrico Tequendama 1, 2, 3 y 4",Certified,https://www.ecoregistry.io/projects/38,,,7,17665;25386;25483;25645;52480;5483;73675,LA MESA;NARINO;SAN ANTONIO;SAN ANTONIO DEL TEQUENDAMA;SAN JOSE
CDC-34,Proyecto Hidroeléctrico El Quimbo,Certified,https://www.ecoregistry.io/projects/34,,,8,41013;41026;41298;41306;41518;41797;5091;68211,AGRADO;ALTAMIRA;BETANIA;CONTRATACION;GARZON;GIGANTE;PAICOL;TESALIA
CDC-34,Proyecto Hidroeléctrico El Quimbo,Certified,https://www.ecoregistry.io/projects/34,,,8,41013;41026;41298;41306;41518;41797;5091;68211,AGRADO;ALTAMIRA;BETANIA;CONTRATACION;GARZON;GIGANTE;PAICOL;TESALIA
CDC-34,Proyecto Hidroeléctrico El Quimbo,Certified,https://www.ecoregistry.io/projects/34,,,8,41013;41026;41298;41306;41518;41797;5091;68211,AGRADO;ALTAMIRA;BETANIA;CONTRATACION;GARZON;GIGANTE;PAICOL;TESALIA
CDC-75,Núcleos Carbono,Certified,https://www.ecoregistry.io/projects/75,,,11,15131;5001;5036;5129;5347;5647;5887;5890;68669;73675;88001,ANGELOPOLIS;CALDAS;HELICONIA;MEDELLIN;SAN ANDRES;SAN ANDRES DE CUERQUIA;SAN ANTONIO;YARUMAL;YOLOMBO
CDC-75,Núcleos Carbono,Certified,https://www.ecoregistry.io/projects/75,,,11,15131;5001;5036;5129;5347;5647;5887;5890;68669;73675;88001,ANGELOPOLIS;CALDAS;HELICONIA;MEDELLIN;SAN ANDRES;SAN ANDRES DE CUERQUIA;SAN ANTONIO;YARUMAL;YOLOMBO
CDC-75,Núcleos Carbono,Certified,https://www.ecoregistry.io/projects/75,,,11,15131;5001;5036;5129;5347;5647;5887;5890;68669;73675;88001,ANGELOPOLIS;CALDAS;HELICONIA;MEDELLIN;SAN ANDRES;SAN ANDRES DE CUERQUIA;SAN ANTONIO;YARUMAL;YOLOMBO
CDC-36,Proyecto Hidroeléctrico Guavio Menor,Certified,https://www.ecoregistry.io/projects/36,2016-04-27,2066-04-26,3,15236;25293;25297,CHIVOR;GACHALA;GACHETA
CDC-36,Proyecto Hidroeléctrico Guavio Menor,Certified,https://www.ecoregistry.io/projects/36,2016-04-27,2066-04-26,3,15236;25293;25297,CHIVOR;GACHALA;GACHETA
CDC-36,Proyecto Hidroeléctrico Guavio Menor,Certified,https://www.ecoregistry.io/projects/36,2016-04-27,2066-04-26,3,15236;25293;25297,CHIVOR;GACHALA;GACHETA
CDC-199,Proyectos Fotovoltaicos Guamo y Numbana,Validation,https://www.ecoregistry.io/projects/199,,,0,,
CDC-28,Manejo Sostenible de los Bosques Aplicado en el Oriente Antioqueño bajo el esquema BancO2®,Certified,https://www.ecoregistry.io/projects/28,,,0,,
CDC-28,Manejo Sostenible de los Bosques Aplicado en el Oriente Antioqueño bajo el esquema BancO2®,Certified,https://www.ecoregistry.io/projects/28,,,0,,
CDC-211,Proyecto de Generación de Energía Solar Fotovoltaica Guayepo,Verification,https://www.ecoregistry.io/projects/211,,,0,,
CDC-185,PMCC AGROINCE,Verification,https://www.ecoregistry.io/projects/185,,,0,,
CDC-185,PMCC AGROINCE,Verification,https://www.ecoregistry.io/projects/185,,,0,,
CDC-191,Proyecto de reducción de GEI - GREMCA,Verification,https://www.ecoregistry.io/projects/191,,,0,,
CDC-191,Proyecto de reducción de GEI - GREMCA,Verification,https://www.ecoregistry.io/projects/191,,,0,,
CDC-146,Planeta Agradecido con el Resguardo indígena Bajo Río Guainía y Río Negro II,Certified,https://www.ecoregistry.io/projects/146,,,0,,
CDC-64,“Planeta agradecido con el Resguardo Indígena Bajo Río Guainía y Río Negro”,Certified,https://www.ecoregistry.io/projects/64,,,0,,
CDC-64,“Planeta agradecido con el Resguardo Indígena Bajo Río Guainía y Río Negro”,Certified,https://www.ecoregistry.io/projects/64,,,0,,
CDC-155,Awakadaa Jiduaa,Certified,https://www.ecoregistry.io/projects/155,,,3,17665;8573;94884,PUERTO COLOMBIA;SAN JOSE
CDC-25,"Proyecto de mitigación en el sector del uso del suelo cambio en el uso del suelo y silvicultura por remociones debidas al establecimiento de sistemas forestales de Hevea brasiliensis en el municipio de Barrancabermeja, Santander, Colombia.",Certified,https://www.ecoregistry.io/projects/25,,,1,68081,BARRANCABERMEJA
CDC-25,"Proyecto de mitigación en el sector del uso del suelo cambio en el uso del suelo y silvicultura por remociones debidas al establecimiento de sistemas forestales de Hevea brasiliensis en el municipio de Barrancabermeja, Santander, Colombia.",Certified,https://www.ecoregistry.io/projects/25,,,1,68081,BARRANCABERMEJA
CDC-181,Carbono Hass,Certified,https://www.ecoregistry.io/projects/181,,,4,15104;15131;17616;5129,BOYACA;CALDAS;RISARALDA
CDC-180,Carbono Rancho Victoria,Verification,https://www.ecoregistry.io/projects/180,,,1,50573,PUERTO LOPEZ
CDC-180,Carbono Rancho Victoria,Verification,https://www.ecoregistry.io/projects/180,,,1,50573,PUERTO LOPEZ
CDC-50,Veolia LFG PTA Antanas landfill,Certified,https://www.ecoregistry.io/projects/50,,,0,,
CDC-50,Veolia LFG PTA Antanas landfill,Certified,https://www.ecoregistry.io/projects/50,,,0,,
CDC-50,Veolia LFG PTA Antanas landfill,Certified,https://www.ecoregistry.io/projects/50,,,0,,
CDC-10,Bonos de Carbono Caracoli,Verification,https://www.ecoregistry.io/projects/10,,,1,5142,CARACOLI
CDC-10,Bonos de Carbono Caracoli,Verification,https://www.ecoregistry.io/projects/10,,,1,5142,CARACOLI
CDC-10,Bonos de Carbono Caracoli,Verification,https://www.ecoregistry.io/projects/10,,,1,5142,CARACOLI
CDC-103,CELSIA EOLICO AGRUPADO 2022,Verification,https://www.ecoregistry.io/projects/103,,,0,,
CDC-184,Primer Proyecto Agrupado de Helios S.A.S E.S.P para la energización de hogares en Zonas No Interconectadas en Colombia,Certified,https://www.ecoregistry.io/projects/184,,,0,,
CDC-91,Veolia LFG PTA Manizales and Cúcuta Landfill,Certified,https://www.ecoregistry.io/projects/91,,,1,17001,MANIZALES
CDC-91,Veolia LFG PTA Manizales and Cúcuta Landfill,Certified,https://www.ecoregistry.io/projects/91,,,1,17001,MANIZALES
CDC-91,Veolia LFG PTA Manizales and Cúcuta Landfill,Certified,https://www.ecoregistry.io/projects/91,,,1,17001,MANIZALES
CDC-91,Veolia LFG PTA Manizales and Cúcuta Landfill,Certified,https://www.ecoregistry.io/projects/91,,,1,17001,MANIZALES
CDC-21,CARBONO NEGOCIOS AGROFORESTALES ,Verification,https://www.ecoregistry.io/projects/21,,,3,13654;5154;5895,CAUCASIA;SAN JACINTO;ZARAGOZA
CDC-21,CARBONO NEGOCIOS AGROFORESTALES ,Verification,https://www.ecoregistry.io/projects/21,,,3,13654;5154;5895,CAUCASIA;SAN JACINTO;ZARAGOZA
