project_id,name,proponent,project_url,registry
CCB29,PROYECTO ASOCIATIVO PROGRAMÁTICO ZONA ANDINA Y COSTA ATLÁNTICA - FCG,Forestry Consulting Group S.A.S.,https://www.ecoregistry.io/projects/CDC-29,cercarbono
CCB30,Carbono Ganados y Bosques,Forestry Consulting Group S.A.S.,https://www.ecoregistry.io/projects/CDC-30,cercarbono
CCB31,Carbono Agroforestal La Argentina,Forestry Consulting Group S.A.S.,https://www.ecoregistry.io/projects/CDC-31,cercarbono
CCB32,Programa de Compensaciones de Gases de Efecto Invernadero (GEI) – Reforestadora Cacerí S.A.,Forestry Consulting Group S.A.S.,https://www.ecoregistry.io/projects/CDC-32,cercarbono
CCB33,-,Pruebas 1,https://www.ecoregistry.io/projects/CDC-33,cercarbono
CCB34,Proyecto Hidroeléctrico El Quimbo,Enel Colombia S.A. E.S.P.,https://www.ecoregistry.io/projects/CDC-34,cercarbono
CCB35,Proyecto Hidroeléctrico Guavio,Enel Colombia S.A. E.S.P.,https://www.ecoregistry.io/projects/CDC-35,cercarbono
CCB36,Proyecto Hidroeléctrico Guavio Menor,Enel Colombia S.A. E.S.P.,https://www.ecoregistry.io/projects/CDC-36,cercarbono
CCB37,-,Pruebas 1,https://www.ecoregistry.io/projects/CDC-37,cercarbono
CCB38,"Proyecto Hidroeléctrico Tequendama 1, 2, 3 y 4",Enel Colombia S.A. E.S.P.,https://www.ecoregistry.io/projects/CDC-38,cercarbono
CCB39,Proyecto Hidroeléctrico Dario Valencia Samper,Enel Colombia S.A. E.S.P.,https://www.ecoregistry.io/projects/CDC-39,cercarbono
CCB40,Proyecto Hidroeléctrico El Salto II,Enel Colombia S.A. E.S.P.,https://www.ecoregistry.io/projects/CDC-40,cercarbono
CCB41,Cartagena Landfill Gas Capture and Usage Project,Biogás Colombia S.A.S. E.S.P.,https://www.ecoregistry.io/projects/CDC-41,cercarbono
CCB42,Carbono Inmunizar,Forestry Consulting Group S.A.S.,https://www.ecoregistry.io/projects/CDC-42,cercarbono
CCB43,Carbono Nueva Esperanza,Forestry Consulting Group S.A.S.,https://www.ecoregistry.io/projects/CDC-43,cercarbono
CCB44,-,Pruebas 1,https://www.ecoregistry.io/projects/CDC-44,cercarbono
CCB45,-,Pruebas 1,https://www.ecoregistry.io/projects/CDC-45,cercarbono
CCB46,SKCARBONO,Reforestadora Andina S.A.,https://www.ecoregistry.io/projects/CDC-46,cercarbono
CCB47,Infraestructuras Ecosistémicas REDD+ para los Campesinos de Antioquia Colombia,FUNDACION ECOTROPICS COLOMBIA,https://www.ecoregistry.io/projects/CDC-47,cercarbono
CCB48,Granja Solar de Inírida, ALLCOT X Colombia S.A.S,https://www.ecoregistry.io/projects/CDC-48,cercarbono
CCB49,Carbono Reforestadora El Guásimo,Reforestadora el Gúasimo SAS,https://www.ecoregistry.io/projects/CDC-49,cercarbono
CCB50,Veolia LFG PTA Antanas landfill,VEOLIA COLOMBIA HOLDING SA,https://www.ecoregistry.io/projects/CDC-50,cercarbono
CCB51,Doña Juana Landfill Gas to Energy Project,Biogás Colombia S.A.S. E.S.P.,https://www.ecoregistry.io/projects/CDC-51,cercarbono
CCB52,Makaro Ap+ro,Corporación Masbosques,https://www.ecoregistry.io/projects/CDC-52,cercarbono
CCB53,BAKA ROKARIRE ~IA TIR+~DITO,Corporación Masbosques,https://www.ecoregistry.io/projects/CDC-53,cercarbono
CCB54,AZIRPA,Corporación Masbosques,https://www.ecoregistry.io/projects/CDC-54,cercarbono
CCB55,Awakadaa Matsiadali,Corporación Masbosques,https://www.ecoregistry.io/projects/CDC-55,cercarbono
CCB56,Jocū Bucūrō Apūrō,Corporación Masbosques,https://www.ecoregistry.io/projects/CDC-56,cercarbono
CCB58,PEQUEÑA CENTRAL HIDROELÉCTRICA SAN ANDRÉS DE CUERQUIA,CELSIA COLOMBIA S.A. E.S.P.,https://www.ecoregistry.io/projects/CDC-58,cercarbono
CCB59,CARBONO RINCCO,Rincco S.A.S,https://www.ecoregistry.io/projects/CDC-59,cercarbono
CCB60,BANAKALE - ISIMALI REDD+,REGUARDO INDIGENA SANTA TERESITA DEL TUPARRO,https://www.ecoregistry.io/projects/CDC-60,cercarbono
CCB61,COCOMAN FRONTERA REDD+,BIOFIX CONSULTORIA S.A.S BIC,https://www.ecoregistry.io/projects/CDC-61,cercarbono
CCB63,“PLANETA AGRADECIDO CON EL RESGUARDO INDÍGENA CMARI”,HUMAN FOREST SAS,https://www.ecoregistry.io/projects/CDC-63,cercarbono
CCB64,“Planeta agradecido con el Resguardo Indígena Bajo Río Guainía y Río Negro”,HUMAN FOREST SAS,https://www.ecoregistry.io/projects/CDC-64,cercarbono
CCB65,"Manejo Sostenible de los Bosques Aplicado al Predio Santa Ana, Vereda El Popal, Municipio De Sonsón, Bajo El Esquema BancO2",Corporación Masbosques,https://www.ecoregistry.io/projects/CDC-65,cercarbono
CCB67,Proyecto REDD+ Zona Isana y Surubi,HUMAN FOREST SAS,https://www.ecoregistry.io/projects/CDC-67,cercarbono
CCB68,Carvida,DEXCO COLOMBIA S.A.,https://www.ecoregistry.io/projects/CDC-68,cercarbono
CCB69,PCH La Naveta,IAC ENERGY S.A.S E.S.P.,https://www.ecoregistry.io/projects/CDC-69,cercarbono
